"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","success","value","task","resp"
"10241","
       <p style=""font-size:25px;border: 0px solid #000;border-radius: 5px; color:#222;padding: 8px; font-family: sans-serif"">Welcome</p><hr>
       <p>Thanks for participing in this chain-transmission experiment.</p>
       <p style=""font-size:18px"">To begin, click on <b>Continue</b>.</p>
  ","0","html-button-response","0","10243","0.0-0.0","","","",""
"","","","fullscreen","1","12951","0.0-1.0","true","","",""
"","","","call-function","2","12954","0.0-2.0","","true","",""
"25506","
<p>Welcome to this transmission chain experiment! This study explores the difficulty of spelling specific names.</p>

<p>You will be asked to spell the last name of a celebrity appearing on the screen. You will be shown a picture of the celebrity and an audio of his*her name.</p> 

<p>Good luck!</p>","0","html-button-response","3","38460","0.0-3.0","","","",""
"17409","","{""Q0"":""Shei""}","survey-text","4","55875","0.0-4.0","","","",""
"","","","call-function","5","55876","0.0-5.0-0.0","","true","REPONSE SUJET","Shei,"
"3800","<p>Click to make another person respond.<p><hr>","0","html-button-response","6","59677","0.0-5.0-1.0","","","",""
"213038","
<p>Welcome to this transmission chain experiment! This study explores the difficulty of spelling specific names.</p>

<p>You will be asked to spell the last name of a celebrity appearing on the screen. You will be shown a picture of the celebrity and an audio of his*her name.</p> 
<p>You will also be shown how the previous participant spelt it!</p>
<p>Attention, the previous spelling will be shown during <b>One second</b>, so pay attention!</p> 

<p>Good luck!</p>","0","html-button-response","7","272717","0.0-5.0-2.0","","","",""
"null","<p style= ""font-size: 60px""><b>+</b></p>","null","html-keyboard-response","8","273721","0.0-5.0-3.0","","","",""
"null","<img src=https://image.tmdb.org/t/p/w300_and_h450_bestv2/bRbPSa9lDbXUXKbrLoXDge5oi1m.jpg style=""width:200px;""></img>
    <p style= ""font-size: 30px""><b>Wang Shei</b></p>","null","html-keyboard-response","9","274731","0.0-5.0-4.0","","","",""
"53716","","{""Q0"":""Xiai""}","survey-text","10","328452","0.0-5.0-5.0","","","",""
"","","","call-function","11","328453","0.0-5.1-0.1","","true","REPONSE SUJET","Xiai,"
"224338","<p>Click to make another person respond.<p><hr>","0","html-button-response","12","552792","0.0-5.1-1.1","","","",""
"11448","
<p>Welcome to this transmission chain experiment! This study explores the difficulty of spelling specific names.</p>

<p>You will be asked to spell the last name of a celebrity appearing on the screen. You will be shown a picture of the celebrity and an audio of his*her name.</p> 
<p>You will also be shown how the previous participant spelt it!</p>
<p>Attention, the previous spelling will be shown during <b>One second</b>, so pay attention!</p> 

<p>Good luck!</p>","0","html-button-response","13","564242","0.0-5.1-2.1","","","",""
"null","<p style= ""font-size: 60px""><b>+</b></p>","null","html-keyboard-response","14","565251","0.0-5.1-3.1","","","",""
